start_minute,end_minute,start_time,end_time,dominant,duration_min,num_minutes,total_short_output,total_long_output,avg_short_ratio,avg_long_ratio
0,6,2024-10-15 12:00:00+00:00,2024-10-15 12:06:00+00:00,Long,6,6,472,665,0.3982480367644576,0.6017519632355425
6,9,2024-10-15 12:06:00+00:00,2024-10-15 12:09:00+00:00,Short,3,3,258,239,0.5189224433768017,0.48107755662319834
9,11,2024-10-15 12:09:00+00:00,2024-10-15 12:11:00+00:00,Long,2,2,114,124,0.4786602600339175,0.5213397399660825
11,12,2024-10-15 12:11:00+00:00,2024-10-15 12:12:00+00:00,Short,1,1,68,58,0.5396825396825397,0.4603174603174603
12,16,2024-10-15 12:12:00+00:00,2024-10-15 12:16:00+00:00,Long,4,4,188,225,0.46111685457960006,0.5388831454204
16,17,2024-10-15 12:16:00+00:00,2024-10-15 12:17:00+00:00,Short,1,1,59,56,0.5130434782608696,0.48695652173913045
17,18,2024-10-15 12:17:00+00:00,2024-10-15 12:18:00+00:00,Tie,1,1,75,75,0.5,0.5
18,20,2024-10-15 12:18:00+00:00,2024-10-15 12:20:00+00:00,Long,2,2,78,89,0.4670014347202296,0.5329985652797704
20,22,2024-10-15 12:20:00+00:00,2024-10-15 12:22:00+00:00,Short,2,2,48,36,0.5728871242200795,0.4271128757799206
22,27,2024-10-15 12:22:00+00:00,2024-10-15 12:27:00+00:00,Long,5,5,169,216,0.43796654335080476,0.5620334566491951
27,28,2024-10-15 12:27:00+00:00,2024-10-15 12:28:00+00:00,Short,1,1,34,30,0.53125,0.46875
28,30,2024-10-15 12:28:00+00:00,2024-10-15 12:30:00+00:00,Long,2,2,79,104,0.37921960072595284,0.6207803992740472
30,31,2024-10-15 12:30:00+00:00,2024-10-15 12:31:00+00:00,Short,1,1,45,40,0.5294117647058824,0.47058823529411764
31,38,2024-10-15 12:31:00+00:00,2024-10-15 12:38:00+00:00,Long,7,7,228,312,0.42101813896300117,0.5789818610369989
38,39,2024-10-15 12:38:00+00:00,2024-10-15 12:39:00+00:00,Short,1,1,28,27,0.509090909090909,0.4909090909090909
39,40,2024-10-15 12:39:00+00:00,2024-10-15 12:40:00+00:00,Long,1,1,44,57,0.43564356435643564,0.5643564356435643
40,42,2024-10-15 12:40:00+00:00,2024-10-15 12:42:00+00:00,Short,2,2,114,111,0.5066666666666667,0.49333333333333335
42,43,2024-10-15 12:42:00+00:00,2024-10-15 12:43:00+00:00,Long,1,1,45,53,0.45918367346938777,0.5408163265306123
43,44,2024-10-15 12:43:00+00:00,2024-10-15 12:44:00+00:00,Tie,1,1,63,63,0.5,0.5
44,46,2024-10-15 12:44:00+00:00,2024-10-15 12:46:00+00:00,Long,2,2,89,113,0.44227642276422763,0.5577235772357724
46,47,2024-10-15 12:46:00+00:00,2024-10-15 12:47:00+00:00,Short,1,1,42,38,0.525,0.475
47,60,2024-10-15 12:47:00+00:00,2024-10-15 13:00:00+00:00,Long,13,13,522,952,0.3689055282663211,0.6310944717336788
